Leg,Name,Address,Phone,Rating,Notes,Lat,Lng,Geocode_Precision
Georgia to North Carolina,St. Marys Intracoastal Gateway Marina,"200 East Bryant Street, St. Marys, GA 31558",(912) 510-6213,4.5/5,"GA Border gateway, excellent transient docks.",30.721419,-81.546607,exact
Georgia to North Carolina,Jekyll Island Marina,"1 Harbor Rd, Jekyll Island, GA 31527",(912) 635-3137,4.4/5,Great stopover with easy marshland access.,31.046448,-81.419912,exact
Georgia to North Carolina,Kilkenny Marina,"1884 Kilkenny Rd, Richmond Hill, GA 31324",(912) 756-3740,4.6/5,"Well-protected creek location, highly helpful staff.",31.93806,-81.31361,town_center
Georgia to North Carolina,Isle of Hope Marina,"50 W Bluff Drive, Savannah, GA 31406",(912) 354-8187,4.8/5,"Iconic, historic Savannah bluff setting; 1st Choice Marina.",31.979949,-81.056947,exact
Georgia to North Carolina,Harbour Town Yacht Basin,"160 Lighthouse Rd, Hilton Head Island, SC 29928",(843) 363-8335,4.8/5,Resort setting underneath the famous lighthouse.,32.139847,-80.810287,exact
Georgia to North Carolina,Safe Harbor Beaufort,"1006 Bay St, Beaufort, SC 29902",(843) 524-4422,4.7/5,Beautiful downtown location with great floating docks.,32.431139,-80.673105,exact
Georgia to North Carolina,The Marina at Edisto Beach,"3702 Docksite Rd, Edisto Beach, SC 29438",(843) 869-3504,4.5/5,Crucial staging point before entering Charleston.,32.49583,-80.31444,town_center
Georgia to North Carolina,Charleston City Marina,"17 Lockwood Dr, Charleston, SC 29401",(843) 723-5098,4.8/5,"Home of the famous 'Mega Dock', premier deep-water facility.",32.779482,-79.949977,exact
Georgia to North Carolina,Isle of Palms Marina,"50 41st Ave, Isle of Palms, SC 29451",(843) 886-0209,4.6/5,Well-stocked facility right off the ICW.,32.803901,-79.760487,exact
Georgia to North Carolina,Georgetown Landing Marina,"435 Marina Dr, Georgetown, SC 29440",(843) 546-1776,4.7/5,Excellent staging spot right on the deep Waccamaw River.,33.366791,-79.269448,exact
Georgia to North Carolina,Osprey Marina,"8400 Osprey Rd, Myrtle Beach, SC 29588",(843) 215-5353,4.8/5,Highly protected basin carved into the woods; very popular.,33.677802,-79.03876,exact
Georgia to North Carolina,Barefoot Marina,"2051 Bridge View Ct, North Myrtle Beach, SC 29582",(843) 390-2015,4.7/5,Directly across from Barefoot Landing shopping/dining.,33.82778,-78.69028,town_center
Georgia to North Carolina,Southport Marina,"606 W West St, Southport, NC 28461",(910) 457-9900,4.8/5,World-class transient facility at Cape Fear River junction.,33.919443,-78.025969,exact
Mid-Atlantic & Chesapeake,Tidewater Yacht Marina,"10 Crawford Pkwy, Portsmouth, VA 23704",(757) 393-2525,4.8/5,Located right at ICW Mile Marker 0. Elite 1st Choice Marina.,36.840054,-76.298661,exact
Mid-Atlantic & Chesapeake,Cape Charles Yacht Center,"201 Mason Ave, Cape Charles, VA 23310",(757) 331-3100,4.7/5,Engineered for deep-draft superyachts on the Eastern Shore.,37.2675,-76.01417,town_center
Mid-Atlantic & Chesapeake,Deltaville Marina,"273 Marina Ln, Deltaville, VA 23043",(804) 776-9812,4.8/5,Highly responsive service-oriented stop at Rappahannock mouth.,37.5528,-76.3355,town_center
Mid-Atlantic & Chesapeake,Chesapeake Boat Basin,"1686 Waverly Ave, Kilmarnock, VA 22482",(804) 436-1234,4.9/5,Famous for guest courtesy cars and premium pool/lounge area.,37.700145,-76.351561,exact
Mid-Atlantic & Chesapeake,Somers Cove Marina,"715 Broadway, Crisfield, MD 21817",(410) 968-0925,4.6/5,Massive state-owned public hub. Extremely well-protected.,37.979706,-75.857454,exact
